iter	Passed	Remaining
0	735	735253
1	1251	624697
2	1770	588471
3	2264	563804
4	2741	545588
5	3217	533056
6	3730	529158
7	4229	524459
8	4708	518478
9	5225	517342
10	5711	513501
11	6203	510755
12	6717	510026
13	7226	508947
14	7706	506069
15	8220	505551
16	8740	505428
17	9246	504423
18	9743	503077
19	10258	502676
20	10735	500467
21	11225	499038
22	11707	497326
23	12236	497631
24	12725	496296
25	13249	496344
26	13761	495907
27	14258	494988
28	14708	492470
29	15250	493083
30	15732	491755
31	16240	491260
32	16773	491510
33	17313	491909
34	17855	492289
35	18427	493451
36	18913	492254
37	19442	492204
38	19974	492193
39	20487	491689
40	21002	491243
41	21415	488476
42	21952	488567
43	22481	488465
44	22957	487218
45	23504	487465
46	24056	487777
47	24575	487409
48	25138	487898
49	25636	487096
50	26109	485845
51	26560	484224
52	27067	483633
53	27574	483063
54	28131	483348
55	28694	483715
56	29240	483758
57	29715	482615
58	30201	481680
59	30769	482062
60	31266	481298
61	31685	479368
62	32150	478177
63	32720	478537
64	33257	478397
65	33702	476938
66	34168	475816
67	34659	475039
68	35215	475149
69	35689	474165
70	36164	473197
71	36653	472425
72	37141	471643
73	37610	470636
74	38139	470390
75	38732	470908
76	39239	470363
77	39759	469975
78	40296	469790
79	40834	469592
80	41416	469899
81	41907	469157
82	42300	467344
83	42824	466992
84	43319	466326
85	43805	465565
86	44327	465183
87	44840	464708
88	45371	464421
89	45832	463415
90	46310	462597
91	46925	463138
92	47411	462394
93	47874	461424
94	48374	460831
95	48931	460768
96	49448	460329
97	49945	459702
98	50431	458981
99	50931	458383
100	51433	457807
101	51896	456889
102	52477	457010
103	52935	456060
104	53501	456038
105	53988	455333
106	54527	455077
107	55043	454620
108	55542	454023
109	56004	453130
110	56583	453176
111	57058	452388
112	57537	451642
113	58022	450943
114	58506	450243
115	59031	449860
116	59489	448970
117	59968	448241
118	60444	447491
119	60942	446911
120	61438	446320
121	62102	446931
122	62772	447571
123	63388	447809
124	64000	448003
125	64535	447651
126	65049	447152
127	65591	446839
128	66119	446432
129	66645	446012
130	67115	445217
131	67634	444748
132	68099	443924
133	68621	443476
134	69112	442830
135	69655	442516
136	70118	441694
137	70531	440567
138	71023	439937
139	71507	439260
140	72048	438936
141	72579	438541
142	73094	438054
143	73590	437453
144	74128	437105
145	74671	436774
146	75198	436354
147	75788	436295
148	76284	435694
149	76860	435542
150	77427	435338
151	78010	435216
