iter	Logloss
0	0.6568384825
1	0.6231023309
2	0.5915803061
3	0.5621010182
4	0.5352438594
5	0.5110483264
6	0.4883387024
7	0.4677107091
8	0.4473125147
9	0.4299225895
10	0.4126106753
11	0.3980396696
12	0.3846126303
13	0.3720940532
14	0.3599671395
15	0.3491577036
16	0.3386011569
17	0.3297441302
18	0.3204031992
19	0.3117756657
20	0.3028763612
21	0.2951213071
22	0.2877695488
23	0.2822195776
24	0.2759990635
25	0.2692572453
26	0.263220399
27	0.257313238
28	0.252446627
29	0.2474646995
30	0.2426608752
31	0.2380326032
32	0.2337309768
33	0.229889246
34	0.2262222809
35	0.22281798
36	0.2197268065
37	0.2165516592
38	0.2139526819
39	0.2115330553
40	0.2092050466
41	0.2068446619
42	0.2049278985
43	0.2031390111
44	0.2011174152
45	0.1995203398
46	0.1978277356
47	0.1963765049
48	0.1947034447
49	0.1932188038
50	0.191991299
51	0.1907806804
52	0.189780386
53	0.1886450421
54	0.1876405712
55	0.1868552951
56	0.1859285712
57	0.1851260835
58	0.1841748873
59	0.1831896071
60	0.1823174491
61	0.1815108442
62	0.1807356593
63	0.1800881852
64	0.1794241871
65	0.1788304835
66	0.1782409965
67	0.1777103239
68	0.1772094691
69	0.1767032569
70	0.1761587639
71	0.175518304
72	0.1749103165
73	0.1744750745
74	0.1740214338
75	0.1737352236
76	0.1733916563
77	0.1729808955
78	0.1724807963
79	0.1721269799
80	0.1716122613
81	0.1711696406
82	0.1705880804
83	0.1702802646
84	0.16983645
85	0.1697056175
86	0.1693573848
87	0.1689224205
88	0.1687795108
89	0.1685736402
90	0.168219756
91	0.1679003957
92	0.1676065283
93	0.1673046289
94	0.1671881262
95	0.1671301942
96	0.1669982642
97	0.1666520582
98	0.1664747185
99	0.1662619778
100	0.1661349953
101	0.1659537095
102	0.165803358
103	0.1655910953
104	0.1654061769
105	0.1651754833
106	0.1650495281
107	0.1648965893
108	0.1647972915
109	0.1647143488
110	0.1645057992
111	0.1643820515
112	0.164253303
113	0.1641683594
114	0.1640541597
115	0.1639569072
116	0.1638396537
117	0.1637754152
118	0.1636204045
119	0.1635392536
120	0.1634523801
121	0.1633286965
122	0.1631679923
123	0.1630036353
124	0.1629118509
125	0.1626763346
126	0.1625957217
127	0.1625684299
128	0.1624595153
129	0.1622486283
130	0.1621447976
131	0.1620161146
132	0.1616981597
133	0.1615353197
134	0.1614978134
135	0.1614917792
136	0.1613585018
137	0.1613500825
138	0.1611693016
139	0.1611034215
140	0.1610207967
141	0.1609628449
142	0.1607902927
143	0.1606892092
144	0.1605782171
145	0.1605033828
146	0.1603002162
147	0.1602978627
148	0.1601046035
149	0.1600852481
150	0.1598704116
151	0.1598272508
152	0.1598210668
