iter	Passed	Remaining
0	87	86935
1	173	86633
2	257	85615
3	328	81785
4	384	76434
5	443	73485
6	540	76602
7	592	73456
8	649	71499
9	690	68361
10	752	67681
11	782	64461
12	826	62763
13	917	64640
14	1024	67254
15	1102	67776
16	1194	69078
17	1254	68423
18	1313	67801
19	1371	67227
20	1435	66940
21	1498	66596
22	1565	66494
23	1622	65993
24	1714	66860
25	1811	67858
26	1881	67794
27	1987	68983
28	2090	70008
29	2155	69699
30	2247	70240
31	2320	70202
32	2403	70422
33	2467	70096
34	2524	69608
35	2587	69281
36	2659	69229
37	2731	69154
38	2786	68652
39	2856	68555
40	2915	68199
41	3001	68463
42	3092	68827
43	3201	69566
44	3315	70366
45	3400	70531
46	3499	70951
47	3624	71889
48	3714	72082
49	3807	72335
50	3878	72168
51	3963	72256
52	4023	71891
53	4088	71624
54	4143	71188
55	4213	71021
56	4276	70748
57	4337	70449
58	4399	70170
59	4485	70275
60	4574	70417
61	4638	70169
62	4727	70306
63	4812	70378
64	4896	70429
65	4977	70444
66	5074	70664
67	5187	71101
68	5321	71803
69	5441	72298
70	5548	72603
71	5646	72774
72	5726	72715
73	5797	72551
74	5899	72756
75	5994	72876
76	6088	72980
77	6148	72681
78	6228	72616
79	6299	72439
80	6382	72418
81	6478	72533
82	6573	72629
83	6651	72531
84	6722	72369
85	6774	72003
86	6836	71745
87	6951	72045
88	7005	71706
89	7080	71589
90	7158	71510
91	7271	71767
92	7389	72064
93	7492	72216
94	7577	72182
95	7638	71925
96	7756	72206
97	7834	72111
98	7912	72012
99	7987	71891
100	8054	71694
101	8127	71549
102	8197	71391
103	8264	71199
104	8328	70987
105	8392	70782
106	8474	70728
107	8577	70844
108	8668	70860
109	8748	70779
110	8832	70740
111	8900	70565
112	8963	70360
113	9032	70198
114	9105	70069
115	9163	69831
116	9230	69662
117	9268	69278
118	9331	69085
119	9389	68855
120	9431	68514
121	9522	68529
122	9614	68548
123	9688	68443
124	9772	68408
125	9835	68227
126	9901	68060
127	9960	67854
128	10026	67699
129	10102	67610
130	10171	67470
131	10238	67327
132	10309	67204
133	10385	67117
134	10452	66976
135	10494	66672
136	10590	66712
137	10633	66421
138	10702	66293
139	10766	66135
140	10815	65889
141	10864	65646
142	10929	65502
143	11000	65393
144	11082	65345
145	11178	65385
146	11248	65271
147	11283	64954
148	11347	64808
149	11394	64570
150	11458	64423
151	11548	64427
152	11611	64281
153	11684	64187
154	11715	63870
155	11772	63692
156	11835	63549
157	11920	63527
158	12002	63483
159	12090	63476
160	12124	63183
161	12179	63001
162	12243	62870
163	12321	62811
164	12404	62774
165	12445	62526
166	12502	62360
167	12582	62313
168	12680	62350
169	12761	62304
170	12838	62241
171	12940	62293
172	12991	62103
173	13030	61856
174	13106	61789
175	13176	61689
176	13239	61558
177	13283	61343
178	13350	61232
179	13410	61090
180	13470	60950
181	13570	60992
182	13651	60946
183	13717	60833
184	13787	60740
185	13849	60609
186	13923	60532
187	13965	60321
188	14012	60127
189	14089	60064
190	14133	59861
191	14180	59677
192	14251	59590
193	14326	59520
194	14386	59390
195	14457	59303
196	14584	59450
197	14686	59489
198	14762	59419
199	14829	59316
200	14890	59193
201	14993	59232
202	15042	59056
203	15126	59023
204	15172	58840
205	15247	58769
206	15296	58599
207	15351	58455
208	15420	58360
209	15473	58210
210	15570	58223
211	15620	58061
212	15699	58005
213	15748	57841
214	15798	57683
215	15831	57463
216	15905	57393
217	16014	57445
218	16125	57507
219	16229	57541
220	16344	57612
221	16405	57494
222	16477	57411
223	16529	57261
224	16645	57333
225	16709	57226
226	16738	57000
227	16806	56905
228	16848	56725
229	16894	56558
230	16935	56377
231	16982	56218
232	17055	56143
233	17106	55997
234	17196	55980
235	17249	55840
236	17288	55657
237	17337	55508
238	17380	55341
239	17449	55257
240	17525	55193
241	17607	55151
242	17695	55126
243	17740	54966
244	17807	54875
245	17860	54744
246	17895	54555
247	17964	54474
248	18028	54375
249	18081	54244
250	18111	54046
251	18192	53999
252	18253	53895
253	18347	53885
254	18457	53924
255	18546	53901
256	18646	53907
257	18737	53888
258	18801	53791
259	18876	53726
260	18921	53575
261	18983	53473
262	19044	53367
263	19117	53296
264	19200	53253
265	19269	53171
266	19324	53051
267	19390	52962
268	19451	52859
269	19509	52749
270	19593	52707
271	19679	52672
272	19779	52673
273	19845	52583
274	19912	52496
275	19969	52384
