iter	Logloss	Accuracy
0	0.6336575612	0.9426282663
1	0.5803375545	0.9426282663
2	0.5350720114	0.9426282663
3	0.4956054906	0.9426282663
4	0.4612229451	0.9426282663
5	0.4312670263	0.9426282663
6	0.4050302895	0.9426282663
7	0.3818215612	0.9426282663
8	0.3620694726	0.9426282663
9	0.3442900897	0.9426282663
10	0.3276352067	0.9426282663
11	0.3135264549	0.9426282663
12	0.2993218497	0.9426282663
13	0.2869663479	0.9426282663
14	0.2750074807	0.9426282663
15	0.2646112944	0.9426282663
16	0.2561894963	0.9426282663
17	0.2474973077	0.9426282663
18	0.2429682646	0.9426282663
19	0.2354247988	0.9426282663
20	0.2283501438	0.9426282663
21	0.2232025557	0.9426282663
22	0.2178907161	0.9426282663
23	0.2133024198	0.9426282663
24	0.2099206305	0.9426282663
25	0.2059296608	0.9426282663
26	0.2022792312	0.9426282663
27	0.199272446	0.9426282663
28	0.1962788792	0.9426282663
29	0.1938123952	0.9426282663
30	0.1915488126	0.9426282663
31	0.1896320846	0.9426282663
32	0.1877766586	0.9426282663
33	0.1863272496	0.9426282663
34	0.1850774515	0.9428571429
35	0.1839918235	0.9431241656
36	0.1828657487	0.9433148961
37	0.1817087631	0.9433911883
38	0.1808548179	0.9438489414
39	0.1799449914	0.9442304024
40	0.1791301531	0.9443448407
41	0.178153265	0.9445355712
42	0.1775364647	0.94484074
43	0.1769838236	0.9449551783
44	0.1760210517	0.9448025939
45	0.1753140105	0.9449170322
46	0.1745054946	0.9450314705
47	0.1737643647	0.9451459088
48	0.1732438678	0.9452984932
49	0.1727077126	0.9454892237
50	0.1722879371	0.9457562464
51	0.171731068	0.9460614152
52	0.1713183279	0.9465191684
53	0.1708771114	0.9466717528
54	0.1704145041	0.9468624833
55	0.170158211	0.947129506
56	0.170009437	0.9470532138
57	0.1697443665	0.947129506
58	0.1693341722	0.9473965287
59	0.1686510688	0.9477016975
60	0.1680864275	0.9480831585
61	0.1675088593	0.948273889
62	0.1673242799	0.9481975968
63	0.167108668	0.9483120351
64	0.1664831162	0.9485790578
65	0.16633774	0.94865535
66	0.1657282761	0.9486934961
67	0.1654107445	0.9488079344
68	0.1650738156	0.9489986649
69	0.1650072038	0.949036811
70	0.1646609831	0.9491131032
71	0.1643268635	0.9491512493
72	0.1639733021	0.9491512493
73	0.1635441013	0.9493419798
74	0.1632984328	0.949418272
75	0.1631799519	0.9495708564
76	0.1629896679	0.9496471486
77	0.1628434502	0.9496090025
78	0.1626831452	0.9497234408
79	0.1626513844	0.9497234408
80	0.1625668875	0.9496852947
81	0.1624530095	0.9497615869
82	0.1622256629	0.9498378791
83	0.1620692305	0.9500286096
84	0.1619478179	0.9501430479
85	0.1617442786	0.9502956323
86	0.1617184027	0.9502574862
87	0.1616086716	0.9503337784
88	0.1614906882	0.9504482167
89	0.1612519958	0.950562655
90	0.161231357	0.9504100706
91	0.1610070015	0.9506008011
92	0.1607418216	0.950562655
93	0.1606854929	0.9506770933
94	0.1605233056	0.9507915316
95	0.1603871583	0.9510204082
96	0.160312054	0.9510967004
97	0.1602893378	0.9511729926
98	0.1602370768	0.9511729926
99	0.1601511693	0.9512492848
100	0.1601238048	0.9512492848
101	0.1600967747	0.9512111387
102	0.1600957263	0.9511729926
103	0.1600760377	0.951325577
104	0.160002486	0.9512492848
105	0.1598985809	0.9512111387
106	0.1598749725	0.9512492848
107	0.1598665019	0.9512492848
108	0.1598476846	0.9512492848
109	0.1597097717	0.9512874309
110	0.1596506743	0.9513637231
111	0.1596330395	0.951325577
112	0.1596219761	0.951325577
