iter	Passed	Remaining
0	32	32146
1	75	37854
2	149	49799
3	207	51614
4	275	54802
5	327	54254
6	408	57943
7	509	63151
8	619	68175
9	699	69271
10	768	69066
11	829	68280
12	884	67145
13	982	69226
14	1089	71543
15	1181	72682
16	1291	74667
17	1329	72516
18	1393	71953
19	1434	70268
20	1495	69717
21	1546	68738
22	1611	68457
23	1678	68245
24	1743	68013
25	1805	67648
26	1863	67151
27	1927	66904
28	1989	66625
29	2050	66305
30	2125	66425
31	2193	66339
32	2254	66062
33	2311	65666
34	2370	65362
35	2439	65323
36	2500	65090
37	2569	65058
38	2636	64966
39	2697	64735
40	2760	64558
41	2867	65402
42	2978	66298
43	3057	66437
44	3125	66330
45	3188	66136
46	3255	66017
47	3344	66333
48	3408	66161
49	3467	65884
50	3524	65579
51	3573	65143
52	3659	65386
53	3734	65427
54	3801	65312
55	3863	65126
56	3929	65007
57	4000	64981
58	4066	64851
59	4140	64867
60	4213	64861
61	4275	64682
62	4346	64651
63	4419	64638
64	4491	64605
65	4548	64371
66	4611	64216
67	4671	64031
68	4727	63787
69	4788	63615
70	4855	63530
71	4919	63410
72	4988	63351
73	5048	63178
74	5110	63031
75	5169	62854
76	5236	62766
77	5294	62584
78	5368	62586
79	5434	62497
80	5501	62421
81	5569	62350
82	5629	62195
83	5699	62150
84	5764	62052
85	5822	61879
86	5886	61779
87	5939	61559
88	5997	61391
89	6054	61213
90	6114	61078
91	6173	60932
92	6234	60799
93	6294	60672
94	6361	60597
95	6430	60558
96	6484	60367
97	6548	60274
98	6619	60240
99	6677	60094
100	6736	59959
101	6792	59800
102	6848	59641
103	6904	59487
104	6985	59539
105	7050	59461
106	7117	59399
107	7180	59302
108	7250	59265
109	7297	59043
110	7383	59136
111	7466	59199
112	7572	59439
113	7655	59497
114	7767	59779
115	7868	59966
116	7956	60049
117	8011	59882
118	8081	59828
119	8179	59983
120	8275	60119
121	8391	60393
122	8487	60516
123	8563	60496
124	8635	60446
125	8695	60319
126	8761	60229
127	8862	60378
128	8956	60472
129	9015	60331
130	9075	60202
131	9141	60114
132	9195	59944
133	9277	59960
134	9398	60222
135	9495	60323
136	9555	60193
137	9623	60109
138	9686	60003
139	9740	59833
140	9806	59742
141	9868	59628
142	9935	59545
143	9993	59407
144	10061	59326
145	10129	59251
146	10197	59172
147	10255	59040
148	10316	58920
149	10380	58821
150	10437	58684
151	10489	58519
152	10552	58416
153	10607	58273
154	10674	58192
155	10730	58053
156	10784	57908
157	10836	57748
158	10889	57596
159	10950	57492
160	11012	57388
161	11075	57289
162	11137	57192
163	11194	57062
164	11249	56930
165	11309	56820
166	11377	56753
167	11448	56696
168	11506	56577
169	11567	56478
170	11621	56342
171	11679	56226
172	11735	56100
173	11802	56028
174	11869	55954
175	11920	55810
176	11977	55692
177	12043	55616
178	12106	55525
179	12175	55467
180	12229	55338
181	12284	55211
182	12345	55114
183	12409	55032
184	12472	54947
185	12530	54837
186	12594	54755
187	12653	54652
188	12736	54651
189	12793	54542
190	12854	54445
191	12924	54388
192	12995	54338
193	13062	54270
194	13129	54201
195	13195	54127
196	13252	54017
197	13304	53889
198	13369	53815
199	13427	53711
200	13503	53677
201	13577	53636
202	13639	53551
203	13695	53437
204	13760	53364
205	13822	53276
206	13886	53199
207	13940	53079
208	13991	52951
209	14052	52864
210	14106	52749
211	14153	52608
212	14217	52530
213	14273	52425
214	14333	52333
215	14386	52216
216	14444	52119
217	14506	52038
218	14562	51933
219	14627	51861
220	14678	51741
221	14742	51664
222	14798	51563
223	14865	51498
224	14917	51382
225	14986	51324
226	15049	51249
227	15116	51184
228	15183	51120
229	15251	51057
230	15305	50950
231	15357	50838
232	15415	50746
233	15489	50705
234	15546	50607
235	15615	50551
236	15678	50475
237	15728	50356
238	15786	50267
239	15845	50178
240	15904	50088
241	15967	50014
242	16024	49918
243	16102	49890
244	16159	49798
245	16225	49731
246	16293	49673
247	16356	49598
248	16412	49500
249	16477	49431
250	16536	49344
251	16596	49261
252	16644	49144
253	16707	49071
254	16760	48966
255	16816	48872
256	16885	48817
257	16953	48757
258	17008	48662
259	17072	48591
260	17124	48485
261	17182	48398
262	17235	48298
263	17292	48208
264	17352	48128
265	17404	48026
266	17469	47959
267	17527	47872
268	17588	47795
269	17648	47715
270	17702	47620
271	17762	47541
272	17825	47468
273	17889	47399
274	17942	47302
275	17999	47216
276	18057	47131
277	18123	47068
278	18175	46969
279	18226	46867
280	18275	46761
281	18331	46674
282	18402	46625
283	18463	46548
284	18519	46462
285	18585	46399
286	18651	46337
287	18704	46242
288	18758	46149
289	18809	46050
290	18870	45977
291	18932	45904
292	18990	45823
293	19058	45767
294	19121	45698
295	19177	45611
296	19232	45523
297	19290	45441
298	19357	45382
299	19416	45305
300	19485	45250
301	19556	45199
302	19612	45115
303	19672	45040
